No,Date,Close,MAX,Skala
0,1/1/2009,50000,50000,1
1,1/8/2009,50000,50000,1
2,1/15/2009,50000,50000,1
3,1/22/2009,50000,50000,1
4,1/29/2009,50000,50000,1
5,2/5/2009,50000,50000,1
6,2/12/2009,50000,50000,1
7,2/19/2009,50000,50000,1
8,2/26/2009,50000,50000,1
9,3/5/2009,50000,50000,1
10,3/12/2009,50000,50000,1
11,3/19/2009,50000,50000,1
12,3/26/2009,50000,50000,1
13,4/2/2009,50000,50000,1
14,4/9/2009,50000,50000,1
15,4/16/2009,50000,50000,1
16,4/23/2009,50000,50000,1
17,4/30/2009,50000,50000,1
18,5/7/2009,50000,50000,1
19,5/14/2009,50000,50000,1
20,5/21/2009,50000,50000,1
21,5/28/2009,50000,50000,1
22,6/4/2009,50000,50000,1
23,6/11/2009,50000,50000,1
24,6/18/2009,50000,50000,1
25,6/25/2009,50000,50000,1
26,7/2/2009,50000,50000,1
27,7/9/2009,50000,50000,1
28,7/16/2009,50000,50000,1
29,7/23/2009,50000,50000,1
30,7/30/2009,50000,50000,1
31,8/6/2009,50000,50000,1
32,8/13/2009,50000,50000,1
33,8/20/2009,50000,50000,1
34,8/27/2009,50000,50000,1
35,9/3/2009,50000,50000,1
36,9/10/2009,50000,50000,1
37,9/17/2009,50000,50000,1
38,9/24/2009,50000,50000,1
39,10/1/2009,50000,50000,1
40,10/8/2009,50000,50000,1
41,10/15/2009,50000,50000,1
42,10/22/2009,185,50000,0.0037
43,10/29/2009,168.182007,50000,0.00336364
44,11/5/2009,168,50000,0.00336
45,11/12/2009,200,50000,0.004
46,11/19/2009,200,50000,0.004
47,11/26/2009,200,50000,0.004
48,12/3/2009,250,50000,0.005
49,12/10/2009,290,50000,0.0058
50,12/17/2009,400,50000,0.008
51,12/24/2009,700,50000,0.014
52,12/31/2009,1000,50000,0.02
53,1/7/2010,1600,50000,0.032
54,1/14/2010,1800,50000,0.036
55,1/21/2010,2625,50000,0.0525
56,1/28/2010,2625,50000,0.0525
57,2/4/2010,3000,50000,0.06
58,2/11/2010,2625,50000,0.0525
59,2/18/2010,2625,50000,0.0525
60,2/25/2010,2625,50000,0.0525
61,3/4/2010,2625,50000,0.0525
62,3/11/2010,2625,50000,0.0525
63,3/18/2010,2725,50000,0.0545
64,3/25/2010,2725,50000,0.0545
65,4/1/2010,2700,50000,0.054
66,4/8/2010,2450,50000,0.049
67,4/15/2010,2500,50000,0.05
68,4/22/2010,2550,50000,0.051
69,4/29/2010,2450,50000,0.049
70,5/6/2010,2650,50000,0.053
71,5/13/2010,2650,50000,0.053
72,5/20/2010,2650,50000,0.053
73,5/27/2010,2650,50000,0.053
74,6/3/2010,2650,50000,0.053
75,6/10/2010,2650,50000,0.053
76,6/17/2010,2650,50000,0.053
77,6/24/2010,2650,50000,0.053
78,7/1/2010,2650,50000,0.053
79,7/8/2010,2650,50000,0.053
80,7/15/2010,2650,50000,0.053
81,7/22/2010,2650,50000,0.053
82,7/29/2010,2550,50000,0.051
83,8/5/2010,2550,50000,0.051
84,8/12/2010,2550,50000,0.051
85,8/19/2010,2550,50000,0.051
86,8/26/2010,2550,50000,0.051
87,9/2/2010,2550,50000,0.051
88,9/9/2010,2550,50000,0.051
89,9/16/2010,2550,50000,0.051
90,9/23/2010,2550,50000,0.051
91,9/30/2010,2550,50000,0.051
92,10/7/2010,2550,50000,0.051
93,10/14/2010,2550,50000,0.051
94,10/21/2010,2550,50000,0.051
95,10/28/2010,2550,50000,0.051
96,11/4/2010,2550,50000,0.051
97,11/11/2010,2550,50000,0.051
98,11/18/2010,2550,50000,0.051
99,11/25/2010,2550,50000,0.051
100,12/2/2010,2550,50000,0.051
101,12/9/2010,2550,50000,0.051
102,12/16/2010,2550,50000,0.051
103,12/23/2010,2550,50000,0.051
104,12/30/2010,2550,50000,0.051
105,1/6/2011,2550,50000,0.051
106,1/13/2011,2550,50000,0.051
107,1/20/2011,2550,50000,0.051
108,1/27/2011,2550,50000,0.051
109,2/3/2011,2550,50000,0.051
110,2/10/2011,2550,50000,0.051
111,2/17/2011,2550,50000,0.051
112,2/24/2011,2550,50000,0.051
113,3/3/2011,2550,50000,0.051
114,3/10/2011,2550,50000,0.051
115,3/17/2011,2550,50000,0.051
116,3/24/2011,2700,50000,0.054
117,3/31/2011,2550,50000,0.051
118,4/7/2011,2550,50000,0.051
119,4/14/2011,2550,50000,0.051
120,4/21/2011,2550,50000,0.051
121,4/28/2011,2550,50000,0.051
122,5/5/2011,2550,50000,0.051
123,5/12/2011,2550,50000,0.051
124,5/19/2011,2550,50000,0.051
125,5/26/2011,2550,50000,0.051
126,6/2/2011,2550,50000,0.051
127,6/9/2011,2400,50000,0.048
128,6/16/2011,2400,50000,0.048
129,6/23/2011,2400,50000,0.048
130,6/30/2011,2400,50000,0.048
131,7/7/2011,2400,50000,0.048
132,7/14/2011,2750,50000,0.055
133,7/21/2011,2750,50000,0.055
134,7/28/2011,2700,50000,0.054
135,8/4/2011,2700,50000,0.054
136,8/11/2011,2700,50000,0.054
137,8/18/2011,2700,50000,0.054
138,8/25/2011,2700,50000,0.054
139,9/1/2011,2700,50000,0.054
140,9/8/2011,2700,50000,0.054
141,9/15/2011,2700,50000,0.054
142,9/22/2011,2700,50000,0.054
143,9/29/2011,2700,50000,0.054
144,10/6/2011,2700,50000,0.054
145,10/13/2011,2700,50000,0.054
146,10/20/2011,2700,50000,0.054
147,10/27/2011,2700,50000,0.054
148,11/3/2011,2700,50000,0.054
149,11/10/2011,3000,50000,0.06
150,11/17/2011,3000,50000,0.06
151,11/24/2011,3000,50000,0.06
152,12/1/2011,3000,50000,0.06
153,12/8/2011,3000,50000,0.06
154,12/15/2011,2400,50000,0.048
155,12/22/2011,2400,50000,0.048
156,12/29/2011,2300,50000,0.046
157,1/5/2012,2300,50000,0.046
158,1/12/2012,2300,50000,0.046
159,1/19/2012,2300,50000,0.046
160,1/26/2012,2300,50000,0.046
161,2/2/2012,2300,50000,0.046
162,2/9/2012,2300,50000,0.046
163,2/16/2012,2300,50000,0.046
164,2/23/2012,2300,50000,0.046
165,3/1/2012,2300,50000,0.046
166,3/8/2012,2300,50000,0.046
167,3/15/2012,2300,50000,0.046
168,3/22/2012,2300,50000,0.046
169,3/29/2012,2300,50000,0.046
170,4/5/2012,2300,50000,0.046
171,4/12/2012,2300,50000,0.046
172,4/19/2012,2300,50000,0.046
173,4/26/2012,2300,50000,0.046
174,5/3/2012,2500,50000,0.05
175,5/10/2012,2500,50000,0.05
176,5/17/2012,2500,50000,0.05
177,5/24/2012,2500,50000,0.05
178,5/31/2012,2500,50000,0.05
179,6/7/2012,2500,50000,0.05
180,6/14/2012,2500,50000,0.05
181,6/21/2012,2500,50000,0.05
182,6/28/2012,2500,50000,0.05
183,7/5/2012,2500,50000,0.05
184,7/12/2012,2500,50000,0.05
185,7/19/2012,2500,50000,0.05
186,7/26/2012,2500,50000,0.05
187,8/2/2012,2600,50000,0.052
188,8/9/2012,2600,50000,0.052
189,8/16/2012,2600,50000,0.052
190,8/23/2012,2600,50000,0.052
191,8/30/2012,2600,50000,0.052
192,9/6/2012,2700,50000,0.054
193,9/13/2012,2700,50000,0.054
194,9/20/2012,2700,50000,0.054
195,9/27/2012,2700,50000,0.054
196,10/4/2012,2700,50000,0.054
197,10/11/2012,2700,50000,0.054
198,10/18/2012,2700,50000,0.054
199,10/25/2012,2700,50000,0.054
200,11/1/2012,2700,50000,0.054
201,11/8/2012,2700,50000,0.054
202,11/15/2012,2700,50000,0.054
203,11/22/2012,2700,50000,0.054
204,11/29/2012,2700,50000,0.054
205,12/6/2012,2700,50000,0.054
206,12/13/2012,2700,50000,0.054
207,12/20/2012,2700,50000,0.054
208,12/27/2012,2700,50000,0.054
209,1/3/2013,2700,50000,0.054
210,1/10/2013,2700,50000,0.054
211,1/17/2013,2700,50000,0.054
212,1/24/2013,2700,50000,0.054
213,1/31/2013,2700,50000,0.054
214,2/7/2013,2700,50000,0.054
215,2/14/2013,3375,50000,0.0675
216,2/21/2013,3375,50000,0.0675
217,2/28/2013,3375,50000,0.0675
218,3/7/2013,4200,50000,0.084
219,3/14/2013,4200,50000,0.084
220,3/21/2013,10950,50000,0.219
221,3/28/2013,11850,50000,0.237
222,4/4/2013,11400,50000,0.228
223,4/11/2013,11450,50000,0.229
224,4/18/2013,12000,50000,0.24
225,4/25/2013,12800,50000,0.256
226,5/2/2013,12950,50000,0.259
227,5/9/2013,13000,50000,0.26
228,5/16/2013,14000,50000,0.28
229,5/23/2013,13400,50000,0.268
230,5/30/2013,12500,50000,0.25
231,6/6/2013,10950,50000,0.219
232,6/13/2013,11800,50000,0.236
233,6/20/2013,10500,50000,0.21
234,6/27/2013,11500,50000,0.23
235,7/4/2013,10800,50000,0.216
236,7/11/2013,12000,50000,0.24
237,7/18/2013,12200,50000,0.244
238,7/25/2013,12450,50000,0.249
239,8/1/2013,13250,50000,0.265
240,8/8/2013,13000,50000,0.26
241,8/15/2013,12200,50000,0.244
242,8/22/2013,11400,50000,0.228
243,8/29/2013,10700,50000,0.214
244,9/5/2013,11700,50000,0.234
245,9/12/2013,11800,50000,0.236
246,9/19/2013,11200,50000,0.224
247,9/26/2013,11500,50000,0.23
248,10/3/2013,11050,50000,0.221
249,10/10/2013,11500,50000,0.23
250,10/17/2013,12400,50000,0.248
251,10/24/2013,12500,50000,0.25
252,10/31/2013,11800,50000,0.236
253,11/7/2013,11400,50000,0.228
254,11/14/2013,10750,50000,0.215
255,11/21/2013,11350,50000,0.227
256,11/28/2013,10700,50000,0.214
