No,Date,Close,MAX,Skala
0,1/1/2009,4250,19000,0.223684211
1,1/8/2009,3675,19000,0.193421053
2,1/15/2009,3450,19000,0.181578947
3,1/22/2009,3475,19000,0.182894737
4,1/29/2009,3450,19000,0.181578947
5,2/5/2009,3525,19000,0.185526316
6,2/12/2009,3550,19000,0.186842105
7,2/19/2009,3500,19000,0.184210526
8,2/26/2009,3475,19000,0.182894737
9,3/5/2009,3475,19000,0.182894737
10,3/12/2009,3475,19000,0.182894737
11,3/19/2009,3725,19000,0.196052632
12,3/26/2009,3775,19000,0.198684211
13,4/2/2009,3875,19000,0.203947368
14,4/9/2009,4000,19000,0.210526316
15,4/16/2009,4200,19000,0.221052632
16,4/23/2009,3975,19000,0.209210526
17,4/30/2009,4450,19000,0.234210526
18,5/7/2009,4525,19000,0.238157895
19,5/14/2009,4775,19000,0.251315789
20,5/21/2009,4575,19000,0.240789474
21,5/28/2009,5100,19000,0.268421053
22,6/4/2009,5000,19000,0.263157895
23,6/11/2009,4600,19000,0.242105263
24,6/18/2009,4925,19000,0.259210526
25,6/25/2009,5200,19000,0.273684211
26,7/2/2009,5250,19000,0.276315789
27,7/9/2009,5400,19000,0.284210526
28,7/16/2009,5300,19000,0.278947368
29,7/23/2009,5900,19000,0.310526316
30,7/30/2009,5800,19000,0.305263158
31,8/6/2009,5750,19000,0.302631579
32,8/13/2009,5600,19000,0.294736842
33,8/20/2009,5850,19000,0.307894737
34,8/27/2009,5750,19000,0.302631579
35,9/3/2009,6050,19000,0.318421053
36,9/10/2009,6400,19000,0.336842105
37,9/17/2009,6400,19000,0.336842105
38,9/24/2009,6300,19000,0.331578947
39,10/1/2009,6800,19000,0.357894737
40,10/8/2009,6800,19000,0.357894737
41,10/15/2009,6750,19000,0.355263158
42,10/22/2009,6450,19000,0.339473684
43,10/29/2009,7150,19000,0.376315789
44,11/5/2009,7150,19000,0.376315789
45,11/12/2009,7650,19000,0.402631579
46,11/19/2009,7200,19000,0.378947368
47,11/26/2009,7100,19000,0.373684211
48,12/3/2009,7350,19000,0.386842105
49,12/10/2009,7450,19000,0.392105263
50,12/17/2009,7550,19000,0.397368421
51,12/24/2009,7550,19000,0.397368421
52,12/31/2009,7800,19000,0.410526316
53,1/7/2010,7700,19000,0.405263158
54,1/14/2010,8000,19000,0.421052632
55,1/21/2010,7800,19000,0.410526316
56,1/28/2010,7900,19000,0.415789474
57,2/4/2010,7850,19000,0.413157895
58,2/11/2010,7850,19000,0.413157895
59,2/18/2010,7600,19000,0.4
60,2/25/2010,7450,19000,0.392105263
61,3/4/2010,7800,19000,0.410526316
62,3/11/2010,7850,19000,0.413157895
63,3/18/2010,7700,19000,0.405263158
64,3/25/2010,7300,19000,0.384210526
65,4/1/2010,8250,19000,0.434210526
66,4/8/2010,8200,19000,0.431578947
67,4/15/2010,8200,19000,0.431578947
68,4/22/2010,8100,19000,0.426315789
69,4/29/2010,7950,19000,0.418421053
70,5/6/2010,8150,19000,0.428947368
71,5/13/2010,7950,19000,0.418421053
72,5/20/2010,8900,19000,0.468421053
73,5/27/2010,8150,19000,0.428947368
74,6/3/2010,8250,19000,0.434210526
75,6/10/2010,8500,19000,0.447368421
76,6/17/2010,8500,19000,0.447368421
77,6/24/2010,8750,19000,0.460526316
78,7/1/2010,9100,19000,0.478947368
79,7/8/2010,9050,19000,0.476315789
80,7/15/2010,9100,19000,0.478947368
81,7/22/2010,9250,19000,0.486842105
82,7/29/2010,8600,19000,0.452631579
83,8/5/2010,8800,19000,0.463157895
84,8/12/2010,8800,19000,0.463157895
85,8/19/2010,8750,19000,0.460526316
86,8/26/2010,8800,19000,0.463157895
87,9/2/2010,8850,19000,0.465789474
88,9/9/2010,9450,19000,0.497368421
89,9/16/2010,9500,19000,0.5
90,9/23/2010,9800,19000,0.515789474
91,9/30/2010,9950,19000,0.523684211
92,10/7/2010,9850,19000,0.518421053
93,10/14/2010,9850,19000,0.518421053
94,10/21/2010,9800,19000,0.515789474
95,10/28/2010,9550,19000,0.502631579
96,11/4/2010,9500,19000,0.5
97,11/11/2010,9300,19000,0.489473684
98,11/18/2010,9650,19000,0.507894737
99,11/25/2010,9200,19000,0.484210526
100,12/2/2010,9700,19000,0.510526316
101,12/9/2010,9400,19000,0.494736842
102,12/16/2010,9200,19000,0.484210526
103,12/23/2010,9550,19000,0.502631579
104,12/30/2010,10000,19000,0.526315789
105,1/6/2011,8900,19000,0.468421053
