No,Date,Close,MAX,Skala
0,1/1/2009,3375,26150,0.129063098
1,1/8/2009,2925,26150,0.111854685
2,1/15/2009,2750,26150,0.105162524
3,1/22/2009,2750,26150,0.105162524
4,1/29/2009,2825,26150,0.108030593
5,2/5/2009,2575,26150,0.098470363
6,2/12/2009,2550,26150,0.09751434
7,2/19/2009,2350,26150,0.089866157
8,2/26/2009,2575,26150,0.098470363
9,3/5/2009,2800,26150,0.10707457
10,3/12/2009,2800,26150,0.10707457
11,3/19/2009,3150,26150,0.120458891
12,3/26/2009,3175,26150,0.121414914
13,4/2/2009,3050,26150,0.116634799
14,4/9/2009,3375,26150,0.129063098
15,4/16/2009,3425,26150,0.130975143
16,4/23/2009,3325,26150,0.127151052
17,4/30/2009,3400,26150,0.13001912
18,5/7/2009,3250,26150,0.124282983
19,5/14/2009,3525,26150,0.134799235
20,5/21/2009,3450,26150,0.131931166
21,5/28/2009,3525,26150,0.134799235
22,6/4/2009,3900,26150,0.149139579
23,6/11/2009,3575,26150,0.136711281
24,6/18/2009,3650,26150,0.13957935
25,6/25/2009,3600,26150,0.137667304
26,7/2/2009,3600,26150,0.137667304
27,7/9/2009,3725,26150,0.142447419
28,7/16/2009,3600,26150,0.137667304
29,7/23/2009,3650,26150,0.13957935
30,7/30/2009,4025,26150,0.153919694
31,8/6/2009,4325,26150,0.165391969
32,8/13/2009,4200,26150,0.160611855
33,8/20/2009,4350,26150,0.166347992
34,8/27/2009,4275,26150,0.163479924
35,9/3/2009,4475,26150,0.171128107
36,9/10/2009,4375,26150,0.167304015
37,9/17/2009,4625,26150,0.176864245
38,9/24/2009,4625,26150,0.176864245
39,10/1/2009,4925,26150,0.18833652
40,10/8/2009,4800,26150,0.183556405
41,10/15/2009,4775,26150,0.182600382
42,10/22/2009,4600,26150,0.175908222
43,10/29/2009,4600,26150,0.175908222
44,11/5/2009,4700,26150,0.179732314
45,11/12/2009,4725,26150,0.180688337
46,11/19/2009,4700,26150,0.179732314
47,11/26/2009,4925,26150,0.18833652
48,12/3/2009,4700,26150,0.179732314
49,12/10/2009,4825,26150,0.184512428
50,12/17/2009,4725,26150,0.180688337
51,12/24/2009,4850,26150,0.185468451
52,12/31/2009,4950,26150,0.189292543
53,1/7/2010,5000,26150,0.191204589
54,1/14/2010,5050,26150,0.193116635
55,1/21/2010,4725,26150,0.180688337
56,1/28/2010,4775,26150,0.182600382
57,2/4/2010,4550,26150,0.173996176
58,2/11/2010,4800,26150,0.183556405
59,2/18/2010,5050,26150,0.193116635
60,2/25/2010,4825,26150,0.184512428
61,3/4/2010,5150,26150,0.196940727
62,3/11/2010,5800,26150,0.221797323
63,3/18/2010,5700,26150,0.217973231
64,3/25/2010,5500,26150,0.210325048
65,4/1/2010,5850,26150,0.223709369
66,4/8/2010,5800,26150,0.221797323
67,4/15/2010,5750,26150,0.219885277
68,4/22/2010,5450,26150,0.208413002
69,4/29/2010,5200,26150,0.198852772
70,5/6/2010,5150,26150,0.196940727
71,5/13/2010,5250,26150,0.200764818
72,5/20/2010,5250,26150,0.200764818
73,5/27/2010,5450,26150,0.208413002
74,6/3/2010,5600,26150,0.21414914
75,6/10/2010,5650,26150,0.216061185
76,6/17/2010,5800,26150,0.221797323
77,6/24/2010,5950,26150,0.227533461
78,7/1/2010,5800,26150,0.221797323
79,7/8/2010,5950,26150,0.227533461
80,7/15/2010,5950,26150,0.227533461
81,7/22/2010,6000,26150,0.229445507
82,7/29/2010,5750,26150,0.219885277
83,8/5/2010,5950,26150,0.227533461
84,8/12/2010,6000,26150,0.229445507
85,8/19/2010,6050,26150,0.231357553
86,8/26/2010,6050,26150,0.231357553
87,9/2/2010,6050,26150,0.231357553
88,9/9/2010,6500,26150,0.248565966
89,9/16/2010,6250,26150,0.239005736
90,9/23/2010,6800,26150,0.260038241
91,9/30/2010,6900,26150,0.263862333
92,10/7/2010,6800,26150,0.260038241
93,10/14/2010,6800,26150,0.260038241
94,10/21/2010,7000,26150,0.267686424
95,10/28/2010,7150,26150,0.273422562
96,11/4/2010,7050,26150,0.26959847
97,11/11/2010,7050,26150,0.26959847
98,11/18/2010,6600,26150,0.252390057
99,11/25/2010,6400,26150,0.244741874
100,12/2/2010,6700,26150,0.256214149
101,12/9/2010,6500,26150,0.248565966
102,12/16/2010,6450,26150,0.24665392
103,12/23/2010,6500,26150,0.248565966
104,12/30/2010,6600,26150,0.252390057
105,1/6/2011,5800,26150,0.221797323
106,1/13/2011,5750,26150,0.219885277
107,1/20/2011,5850,26150,0.223709369
108,1/27/2011,5850,26150,0.223709369
109,2/3/2011,5900,26150,0.225621415
110,2/10/2011,6050,26150,0.231357553
111,2/17/2011,6400,26150,0.244741874
112,2/24/2011,6500,26150,0.248565966
113,3/3/2011,6850,26150,0.261950287
114,3/10/2011,6700,26150,0.256214149
115,3/17/2011,6800,26150,0.260038241
116,3/24/2011,6850,26150,0.261950287
117,3/31/2011,6950,26150,0.265774379
118,4/7/2011,7150,26150,0.273422562
119,4/14/2011,7550,26150,0.288718929
120,4/21/2011,7500,26150,0.286806883
121,4/28/2011,7350,26150,0.281070746
122,5/5/2011,7350,26150,0.281070746
123,5/12/2011,7150,26150,0.273422562
124,5/19/2011,7100,26150,0.271510516
125,5/26/2011,7100,26150,0.271510516
126,6/2/2011,7000,26150,0.267686424
127,6/9/2011,7150,26150,0.273422562
128,6/16/2011,7300,26150,0.2791587
129,6/23/2011,7450,26150,0.284894837
130,6/30/2011,7800,26150,0.298279159
131,7/7/2011,7950,26150,0.304015296
132,7/14/2011,8000,26150,0.305927342
133,7/21/2011,8350,26150,0.319311663
134,7/28/2011,8700,26150,0.332695985
135,8/4/2011,8000,26150,0.305927342
136,8/11/2011,8150,26150,0.31166348
137,8/18/2011,7900,26150,0.30210325
138,8/25/2011,8000,26150,0.305927342
139,9/1/2011,8350,26150,0.319311663
140,9/8/2011,7750,26150,0.296367113
