No,Date,Close,MAX,Skala
0,1/1/2009,1950,6350,0.307086614
1,1/8/2009,2075,6350,0.326771654
2,1/15/2009,1900,6350,0.299212598
3,1/22/2009,2025,6350,0.318897638
4,1/29/2009,2150,6350,0.338582677
5,2/5/2009,2025,6350,0.318897638
6,2/12/2009,2025,6350,0.318897638
7,2/19/2009,1960,6350,0.308661417
8,2/26/2009,1870,6350,0.294488189
9,3/5/2009,1910,6350,0.300787402
10,3/12/2009,1920,6350,0.302362205
11,3/19/2009,2150,6350,0.338582677
12,3/26/2009,2175,6350,0.342519685
13,4/2/2009,2325,6350,0.366141732
14,4/9/2009,2375,6350,0.374015748
15,4/16/2009,2425,6350,0.381889764
16,4/23/2009,2350,6350,0.37007874
17,4/30/2009,2775,6350,0.437007874
18,5/7/2009,2675,6350,0.421259843
19,5/14/2009,2800,6350,0.440944882
20,5/21/2009,2775,6350,0.437007874
21,5/28/2009,2950,6350,0.464566929
22,6/4/2009,3125,6350,0.492125984
23,6/11/2009,3025,6350,0.476377953
24,6/18/2009,3125,6350,0.492125984
25,6/25/2009,3250,6350,0.511811024
26,7/2/2009,3425,6350,0.539370079
27,7/9/2009,3425,6350,0.539370079
28,7/16/2009,3350,6350,0.527559055
29,7/23/2009,3300,6350,0.519685039
30,7/30/2009,3475,6350,0.547244094
31,8/6/2009,3400,6350,0.535433071
32,8/13/2009,3225,6350,0.507874016
33,8/20/2009,3350,6350,0.527559055
34,8/27/2009,3350,6350,0.527559055
35,9/3/2009,3525,6350,0.55511811
36,9/10/2009,3750,6350,0.590551181
37,9/17/2009,3725,6350,0.586614173
38,9/24/2009,3650,6350,0.57480315
39,10/1/2009,3650,6350,0.57480315
40,10/8/2009,3575,6350,0.562992126
41,10/15/2009,3725,6350,0.586614173
42,10/22/2009,3675,6350,0.578740157
43,10/29/2009,3650,6350,0.57480315
44,11/5/2009,3675,6350,0.578740157
45,11/12/2009,3875,6350,0.61023622
46,11/19/2009,3750,6350,0.590551181
47,11/26/2009,3800,6350,0.598425197
48,12/3/2009,3950,6350,0.622047244
49,12/10/2009,3925,6350,0.618110236
50,12/17/2009,3825,6350,0.602362205
51,12/24/2009,3900,6350,0.614173228
52,12/31/2009,4050,6350,0.637795276
53,1/7/2010,3950,6350,0.622047244
54,1/14/2010,3725,6350,0.586614173
55,1/21/2010,3725,6350,0.586614173
56,1/28/2010,3725,6350,0.586614173
57,2/4/2010,3575,6350,0.562992126
58,2/11/2010,3750,6350,0.590551181
59,2/18/2010,3700,6350,0.582677165
60,2/25/2010,3775,6350,0.594488189
61,3/4/2010,3925,6350,0.618110236
62,3/11/2010,4250,6350,0.669291339
63,3/18/2010,4275,6350,0.673228346
64,3/25/2010,4250,6350,0.669291339
65,4/1/2010,4150,6350,0.653543307
66,4/8/2010,4125,6350,0.649606299
67,4/15/2010,4150,6350,0.653543307
68,4/22/2010,4050,6350,0.637795276
69,4/29/2010,3950,6350,0.622047244
70,5/6/2010,3875,6350,0.61023622
71,5/13/2010,3600,6350,0.566929134
72,5/20/2010,3475,6350,0.547244094
73,5/27/2010,3700,6350,0.582677165
74,6/3/2010,3775,6350,0.594488189
75,6/10/2010,3875,6350,0.61023622
76,6/17/2010,3850,6350,0.606299213
77,6/24/2010,3875,6350,0.61023622
78,7/1/2010,4025,6350,0.633858268
