No,Date,Close,MAX,Skala
0,1/1/2009,1020,9000,0.113333333
1,1/8/2009,1080,9000,0.12
2,1/15/2009,1000,9000,0.111111111
3,1/22/2009,1020,9000,0.113333333
4,1/29/2009,970,9000,0.107777778
5,2/5/2009,970,9000,0.107777778
6,2/12/2009,930,9000,0.103333333
7,2/19/2009,880,9000,0.097777778
8,2/26/2009,870,9000,0.096666667
9,3/5/2009,870,9000,0.096666667
10,3/12/2009,880,9000,0.097777778
11,3/19/2009,960,9000,0.106666667
12,3/26/2009,920,9000,0.102222222
13,4/2/2009,960,9000,0.106666667
14,4/9/2009,1080,9000,0.12
15,4/16/2009,1180,9000,0.131111111
16,4/23/2009,1250,9000,0.138888889
17,4/30/2009,1450,9000,0.161111111
18,5/7/2009,1600,9000,0.177777778
19,5/14/2009,1800,9000,0.2
20,5/21/2009,1760,9000,0.195555556
21,5/28/2009,1900,9000,0.211111111
22,6/4/2009,1950,9000,0.216666667
23,6/11/2009,1810,9000,0.201111111
24,6/18/2009,1800,9000,0.2
25,6/25/2009,1890,9000,0.21
26,7/2/2009,1830,9000,0.203333333
27,7/9/2009,1920,9000,0.213333333
28,7/16/2009,2125,9000,0.236111111
29,7/23/2009,2225,9000,0.247222222
30,7/30/2009,2225,9000,0.247222222
31,8/6/2009,2475,9000,0.275
32,8/13/2009,2325,9000,0.258333333
33,8/20/2009,2700,9000,0.3
34,8/27/2009,2600,9000,0.288888889
35,9/3/2009,2725,9000,0.302777778
36,9/10/2009,2750,9000,0.305555556
37,9/17/2009,2825,9000,0.313888889
38,9/24/2009,3025,9000,0.336111111
39,10/1/2009,3125,9000,0.347222222
40,10/8/2009,3250,9000,0.361111111
41,10/15/2009,3125,9000,0.347222222
42,10/22/2009,2850,9000,0.316666667
43,10/29/2009,3100,9000,0.344444444
44,11/5/2009,3100,9000,0.344444444
45,11/12/2009,3200,9000,0.355555556
46,11/19/2009,3175,9000,0.352777778
47,11/26/2009,3100,9000,0.344444444
48,12/3/2009,3325,9000,0.369444444
49,12/10/2009,3550,9000,0.394444444
50,12/17/2009,3375,9000,0.375
51,12/24/2009,3550,9000,0.394444444
52,12/31/2009,3725,9000,0.413888889
53,1/7/2010,3725,9000,0.413888889
54,1/14/2010,3800,9000,0.422222222
55,1/21/2010,3450,9000,0.383333333
56,1/28/2010,3600,9000,0.4
57,2/4/2010,3575,9000,0.397222222
58,2/11/2010,3825,9000,0.425
59,2/18/2010,3875,9000,0.430555556
60,2/25/2010,3800,9000,0.422222222
61,3/4/2010,3850,9000,0.427777778
62,3/11/2010,4050,9000,0.45
63,3/18/2010,3925,9000,0.436111111
64,3/25/2010,3775,9000,0.419444444
65,4/1/2010,3850,9000,0.427777778
66,4/8/2010,3875,9000,0.430555556
67,4/15/2010,3825,9000,0.425
68,4/22/2010,3775,9000,0.419444444
69,4/29/2010,3600,9000,0.4
70,5/6/2010,3625,9000,0.402777778
71,5/13/2010,3525,9000,0.391666667
72,5/20/2010,3525,9000,0.391666667
73,5/27/2010,3575,9000,0.397222222
74,6/3/2010,3700,9000,0.411111111
75,6/10/2010,3850,9000,0.427777778
76,6/17/2010,4050,9000,0.45
77,6/24/2010,4150,9000,0.461111111
78,7/1/2010,4400,9000,0.488888889
79,7/8/2010,4300,9000,0.477777778
80,7/15/2010,4450,9000,0.494444444
81,7/22/2010,4500,9000,0.5
82,7/29/2010,4300,9000,0.477777778
83,8/5/2010,4175,9000,0.463888889
84,8/12/2010,4200,9000,0.466666667
85,8/19/2010,4350,9000,0.483333333
86,8/26/2010,4500,9000,0.5
87,9/2/2010,4875,9000,0.541666667
88,9/9/2010,5150,9000,0.572222222
89,9/16/2010,5750,9000,0.638888889
90,9/23/2010,5400,9000,0.6
91,9/30/2010,5650,9000,0.627777778
92,10/7/2010,5100,9000,0.566666667
93,10/14/2010,5000,9000,0.555555556
94,10/21/2010,5050,9000,0.561111111
95,10/28/2010,5150,9000,0.572222222
96,11/4/2010,5200,9000,0.577777778
97,11/11/2010,5000,9000,0.555555556
98,11/18/2010,4800,9000,0.533333333
99,11/25/2010,4800,9000,0.533333333
100,12/2/2010,4725,9000,0.525
101,12/9/2010,4650,9000,0.516666667
102,12/16/2010,4650,9000,0.516666667
103,12/23/2010,4875,9000,0.541666667
104,12/30/2010,4950,9000,0.55
105,1/6/2011,4700,9000,0.522222222
106,1/13/2011,4725,9000,0.525
107,1/20/2011,4775,9000,0.530555556
108,1/27/2011,4750,9000,0.527777778
109,2/3/2011,4750,9000,0.527777778
110,2/10/2011,4700,9000,0.522222222
111,2/17/2011,4900,9000,0.544444444
112,2/24/2011,4825,9000,0.536111111
113,3/3/2011,4925,9000,0.547222222
114,3/10/2011,4975,9000,0.552777778
115,3/17/2011,5000,9000,0.555555556
116,3/24/2011,5350,9000,0.594444444
117,3/31/2011,5350,9000,0.594444444
118,4/7/2011,5400,9000,0.6
119,4/14/2011,5600,9000,0.622222222
120,4/21/2011,5600,9000,0.622222222
121,4/28/2011,5550,9000,0.616666667
122,5/5/2011,5650,9000,0.627777778
123,5/12/2011,5700,9000,0.633333333
124,5/19/2011,5350,9000,0.594444444
125,5/26/2011,5450,9000,0.605555556
126,6/2/2011,5300,9000,0.588888889
127,6/9/2011,5350,9000,0.594444444
128,6/16/2011,5600,9000,0.622222222
129,6/23/2011,5600,9000,0.622222222
130,6/30/2011,5700,9000,0.633333333
131,7/7/2011,5800,9000,0.644444444
132,7/14/2011,5950,9000,0.661111111
133,7/21/2011,6100,9000,0.677777778
134,7/28/2011,6450,9000,0.716666667
135,8/4/2011,6350,9000,0.705555556
136,8/11/2011,6400,9000,0.711111111
137,8/18/2011,6450,9000,0.716666667
138,8/25/2011,6100,9000,0.677777778
139,9/1/2011,6000,9000,0.666666667
140,9/8/2011,5550,9000,0.616666667
141,9/15/2011,5000,9000,0.555555556
142,9/22/2011,4725,9000,0.525
143,9/29/2011,4650,9000,0.516666667
144,10/6/2011,5300,9000,0.588888889
145,10/13/2011,5550,9000,0.616666667
146,10/20/2011,5600,9000,0.622222222
147,10/27/2011,5250,9000,0.583333333
148,11/3/2011,5000,9000,0.555555556
149,11/10/2011,4950,9000,0.55
150,11/17/2011,4725,9000,0.525
151,11/24/2011,4700,9000,0.522222222
152,12/1/2011,4825,9000,0.536111111
153,12/8/2011,4575,9000,0.508333333
154,12/15/2011,4650,9000,0.516666667
155,12/22/2011,4650,9000,0.516666667
156,12/29/2011,4825,9000,0.536111111
157,1/5/2012,4900,9000,0.544444444
158,1/12/2012,4850,9000,0.538888889
159,1/19/2012,4875,9000,0.541666667
160,1/26/2012,4850,9000,0.538888889
161,2/2/2012,5100,9000,0.566666667
162,2/9/2012,5000,9000,0.555555556
